18000 25 249 12 36 44 42 2 42 5 3 1 2 4 40 3 18 36 19 6 8 8 18 30 8 49 47 14 11 42 1 45 50 20 1 7 3 11 21 25 50 13 25 9 35 31 21 10 48 50 24 21 15
18001 25 229 1 48 21 26 2 50 15 41 5 27 11 11 3 38 7 5 8 35 14 11 6 35 10 41 49 24 26 42 12 31 31 10 9 15 4 10 41 24 29 8 36 27 27 22 17 5 35 49 39 45
18002 25 196 8 27 4 18 1 11 2 45 19 20 25 50 3 3 5 24 38 26 6 14 15 9 35 36 17 39 13 11 9 40 16 4 11 22 14 9 29 6 28 7 12 50 7 29 20 24 22 34 33 19
18003 25 213 1 35 2 6 3 25 14 49 5 28 30 46 8 24 4 16 27 40 10 16 9 11 7 36 37 22 39 11 13 48 23 19 18 7 11 15 31 10 29 20 15 35 20 43 26 17 6 25 38 31
18004 25 218 1 31 9 1 2 13 3 49 12 4 7 40 4 37 10 36 5 44 6 32 39 44 29 9 13 26 23 7 11 20 45 8 24 19 14 10 38 6 21 39 22 50 17 30 32 41 8 20 42 5
18005 25 185 1 40 3 29 25 9 4 37 2 22 23 31 15 48 28 30 26 50 11 25 8 15 17 15 5 32 10 6 6 50 12 1 18 12 7 3 16 15 14 16 24 48 42 14 13 4 32 3 9 27
18006 25 247 1 29 2 28 7 38 6 11 3 41 14 2 11 16 4 31 16 5 10 46 41 7 5 15 43 15 9 2 18 28 34 12 22 30 28 43 47 46 27 30 12 22 8 18 48 50 29 4 49 27
18007 25 212 11 1 4 47 1 23 41 3 2 38 3 39 16 36 10 25 25 5 6 20 5 20 9 43 22 47 18 28 24 38 7 19 31 21 12 37 8 48 33 11 30 12 36 20 21 44 32 39 17 21
18008 25 250 5 42 1 40 8 43 2 46 3 15 4 10 10 17 6 25 7 21 11 45 14 38 24 6 42 24 22 26 19 17 36 50 37 15 9 39 31 35 18 44 47 30 49 38 23 25 32 11 41 49
18009 25 231 1 15 2 17 3 5 22 20 41 38 18 42 7 22 33 20 5 22 32 17 10 19 8 38 4 17 14 37 47 41 6 48 24 38 25 39 23 49 9 23 42 31 46 3 11 32 16 27 13 27
18010 25 229 1 35 2 34 13 17 12 48 9 36 5 39 3 9 17 5 50 16 6 6 8 20 24 9 29 41 4 2 18 1 40 42 7 26 34 14 10 35 16 9 22 17 42 12 41 49 26 45 19 15
18011 25 227 35 42 1 35 2 24 5 10 24 37 3 19 14 30 7 38 6 39 30 20 41 29 15 21 10 43 17 25 36 29 9 23 28 16 16 8 20 21 8 18 38 34 4 6 27 49 12 49 47 24
18012 25 230 3 45 24 20 23 41 5 47 30 10 1 8 8 34 2 14 21 10 9 13 41 39 15 1 4 27 40 5 27 43 44 32 39 10 16 11 11 39 6 19 12 43 33 24 7 10 22 27 18 30
18013 25 222 43 48 10 31 4 1 1 34 3 23 18 36 6 21 2 14 32 14 5 22 17 47 25 42 8 20 13 34 44 19 34 28 11 47 7 42 9 19 16 33 22 45 49 40 21 14 26 12 19 20
18014 25 222 1 17 13 41 2 12 5 17 16 7 18 8 9 50 45 1 40 17 8 35 3 24 4 23 20 23 10 35 12 6 27 26 38 7 7 1 6 32 48 47 15 25 17 38 37 6 32 33 11 30
