18000 15 113 3 26 1 4 7 19 44 42 2 42 5 3 4 40 6 34 32 31 8 50 36 19 14 31 13 32 9 13 43 24
18001 15 112 1 2 4 18 8 18 2 32 12 48 35 23 5 4 20 36 3 31 6 49 21 49 34 45 31 2 26 5 16 9
18002 15 120 1 26 5 3 8 17 15 18 3 10 38 46 4 22 17 22 2 39 31 34 37 17 14 46 30 38 29 20 6 19
18003 15 150 26 4 2 47 21 25 27 12 43 49 1 18 7 27 5 16 6 20 11 49 14 11 42 1 45 50 20 1 31 45
18004 15 140 50 34 9 49 12 20 4 6 6 43 18 37 45 14 2 16 1 41 47 14 5 44 3 34 42 37 7 3 30 50
18005 15 87 21 13 1 22 11 13 12 43 6 6 25 50 13 25 26 19 2 32 4 42 18 23 8 6 3 14 9 35 16 35
18006 15 101 4 50 6 14 1 22 5 46 9 27 24 27 2 34 11 32 20 31 3 47 14 2 37 6 7 36 18 50 42 24
18007 15 112 5 41 41 29 2 11 3 47 19 40 18 33 1 2 31 21 11 43 37 9 9 24 14 3 15 15 13 18 6 16
18008 15 113 3 45 1 27 5 8 2 33 17 32 9 4 8 43 33 34 48 45 4 37 12 20 20 25 11 19 28 24 25 17
18009 15 116 18 29 42 9 2 27 9 22 3 2 36 30 38 47 1 48 6 38 20 11 8 30 21 26 10 8 14 33 4 9
18010 15 79 17 37 15 41 7 37 2 11 16 3 1 47 24 4 5 27 4 5 13 39 11 11 8 42 3 24 18 28 14 11
18011 15 113 43 29 1 33 10 31 29 39 3 18 11 17 15 13 41 37 5 40 6 35 18 35 21 32 7 47 14 10 2 43
18012 15 142 11 17 1 27 10 41 49 24 13 35 39 11 37 34 8 23 23 19 3 15 20 8 33 46 4 14 25 9 9 42
18013 15 137 2 26 1 48 38 40 44 36 16 2 24 41 5 14 28 7 10 43 41 13 4 20 25 3 7 10 26 42 3 30
18014 15 146 1 48 2 28 24 47 3 30 36 39 4 43 11 31 20 39 19 23 45 23 48 39 14 40 41 50 6 49 18 11
18015 15 118 11 21 1 45 14 34 2 48 22 28 19 9 5 23 38 9 12 24 8 10 33 40 15 31 6 42 24 41 27 26
18016 15 140 13 48 48 44 9 49 21 11 15 40 1 32 39 13 17 36 7 31 5 35 2 12 24 15 33 3 6 20 40 41
18017 15 110 7 42 11 22 1 49 2 7 8 38 9 19 6 30 16 45 14 4 4 10 12 46 48 6 43 27 18 36 21 13
18018 15 152 7 13 2 44 1 34 9 9 22 33 43 49 17 34 41 24 24 32 27 34 32 48 20 43 3 2 8 30 48 9
18019 15 113 6 40 25 15 1 15 2 17 45 13 3 21 9 6 13 36 36 27 4 25 27 44 5 4 33 1 8 3 10 47
18020 15 109 1 5 22 16 17 1 9 20 11 2 2 3 5 40 14 25 12 16 20 6 15 11 3 44 47 30 8 42 32 48
18021 15 130 4 45 2 32 11 22 8 2 48 12 37 49 7 16 1 6 38 4 29 46 49 39 3 42 6 40 13 24 5 26
18022 15 131 2 43 37 22 1 40 15 16 10 21 41 9 35 6 16 38 27 4 4 38 17 5 3 46 43 25 5 19 7 26
18023 15 104 1 46 10 20 9 47 2 18 17 32 6 36 14 22 5 50 4 19 46 17 3 40 7 19 31 13 29 3 24 41
18024 15 110 7 9 35 49 12 28 4 49 6 17 9 46 3 13 11 22 1 50 42 20 8 27 14 13 49 12 2 22 18 50
18025 15 109 8 21 30 4 1 11 3 42 19 17 12 4 2 34 41 46 28 13 5 22 13 32 11 32 21 13 7 20 18 21
18026 15 144 3 20 35 7 6 18 2 22 7 5 41 25 9 14 28 24 17 32 1 11 39 28 44 37 29 21 8 17 20 26
18027 15 127 1 17 8 24 12 5 16 4 6 20 38 26 5 40 3 2 15 9 2 31 40 24 4 16 46 4 35 36 24 7
18028 15 111 3 41 6 27 45 14 17 39 5 34 13 11 1 46 25 23 23 13 9 40 20 28 22 8 4 29 14 12 16 4
18029 15 118 11 22 1 41 4 39 9 13 27 37 6 11 10 6 20 45 3 39 7 17 2 28 14 9 44 14 49 47 29 42
18030 15 106 47 7 1 10 12 46 2 44 4 17 3 50 6 38 15 46 5 20 30 45 8 40 10 40 20 13 16 15 34 31
18031 15 139 1 7 10 4 3 38 36 21 18 16 5 2 27 38 2 19 17 27 28 7 38 48 33 28 12 50 6 47 42 15
18032 15 94 13 27 3 23 1 20 2 50 4 13 5 1 20 18 34 14 6 30 11 30 7 29 37 9 9 25 19 40 17 20
18033 15 82 2 31 4 10 7 26 6 42 1 17 27 8 13 1 9 41 3 3 10 21 25 29 23 4 5 21 15 13 14 28
18034 15 119 19 7 1 45 31 2 20 24 3 7 22 34 36 34 16 5 12 8 9 23 33 19 5 29 6 30 21 23 4 14
18035 15 110 1 35 2 6 19 43 4 15 3 25 5 34 10 5 17 10 47 11 14 49 8 49 13 24 28 37 31 13 18 35
18036 15 106 21 39 5 28 2 45 8 24 14 1 3 11 1 7 4 16 9 23 27 40 40 40 20 5 12 37 30 10 17 29
18037 15 121 1 11 3 21 9 11 25 21 7 36 2 30 4 13 18 17 29 33 37 22 11 49 39 10 34 36 10 13 13 41
18038 15 108 25 13 3 18 30 46 11 27 1 17 4 5 20 26 9 26 2 5 27 43 8 13 18 16 40 39 13 12 5 40
18039 15 123 1 1 5 18 4 50 33 18 49 50 7 39 22 33 14 15 35 1 2 37 27 45 18 39 17 31 10 34 3 32
18040 15 114 2 35 7 23 10 21 4 20 13 48 5 37 35 40 1 44 8 35 9 3 23 19 18 7 19 44 41 16 34 15
18041 15 134 38 27 19 6 13 10 26 45 43 19 1 39 5 49 12 18 4 40 32 10 36 23 15 20 3 50 10 35 11 9
18042 15 127 38 43 1 6 3 39 20 3 2 5 12 41 5 28 4 33 8 2 24 11 16 22 46 13 37 43 29 20 9 15
18043 15 120 1 34 2 30 19 50 17 27 10 48 38 48 7 4 46 5 3 46 5 13 6 11 11 32 15 35 20 43 40 41
18044 15 104 33 26 11 10 1 9 17 34 35 14 10 4 6 35 21 2 3 27 4 4 7 19 27 36 2 2 18 4 14 9
18045 15 133 29 8 7 22 18 29 1 44 9 18 43 48 16 38 3 35 40 42 25 45 4 29 13 2 2 39 20 47 36 21
18046 15 133 1 14 5 36 4 38 18 34 13 29 9 31 45 47 38 43 10 17 30 35 47 25 2 11 3 43 20 49 22 35
18047 15 126 1 3 6 5 27 33 14 31 38 12 21 38 9 1 47 38 3 49 4 21 2 23 5 48 19 12 12 4 45 22
18048 15 117 5 4 28 20 1 29 13 16 7 32 23 15 10 36 18 18 37 21 47 43 3 16 4 32 30 43 2 30 6 20
18049 15 139 2 9 7 24 5 44 1 12 37 11 8 25 10 6 42 16 39 44 4 19 48 4 6 27 18 25 49 8 3 25
