18000 10 73 1 11 4 10 35 30 9 32 34 1 2 7 20 46 7 11 15 17 19 27
18001 10 63 3 39 1 15 11 17 18 13 24 50 2 42 9 22 10 16 36 11 12 35
18002 10 37 2 43 1 37 4 42 6 39 8 9 20 21 5 37 3 28 7 33 19 47
18003 10 65 1 47 6 49 46 44 2 14 3 11 5 4 17 20 36 3 10 6 4 42
18004 10 27 1 19 7 6 2 32 5 45 4 26 3 38 8 23 10 16 6 28 9 6
18005 10 40 3 24 1 12 15 33 20 18 2 20 17 18 5 19 6 45 4 2 7 17
18006 10 55 1 17 4 4 6 46 2 36 12 29 44 24 8 23 24 19 3 1 7 43
18007 10 51 1 20 6 24 3 20 2 30 11 35 14 40 4 43 10 8 24 35 28 28
18008 10 63 1 14 4 5 2 27 45 7 6 32 29 50 3 10 18 36 9 38 10 19
18009 10 50 1 33 8 49 3 32 9 5 2 8 26 42 5 16 18 10 4 25 24 27
18010 10 49 1 24 37 38 2 7 7 8 3 50 5 43 8 36 6 3 25 1 4 11
18011 10 76 3 19 44 23 1 21 2 40 15 36 8 31 10 22 4 23 39 27 26 10
18012 10 39 1 27 2 42 13 30 8 43 7 47 29 42 3 6 4 4 5 45 6 45
18013 10 54 1 42 3 46 10 8 7 3 2 39 4 44 21 49 5 35 8 8 47 8
18014 10 42 1 28 2 21 18 21 4 7 26 47 5 13 10 47 9 4 3 35 7 35
18015 10 43 3 4 6 27 2 33 5 4 4 9 1 13 26 7 10 45 22 18 8 9
18016 10 54 1 19 3 4 26 39 6 48 22 29 2 10 4 36 21 24 15 31 9 47
18017 10 55 1 9 2 12 5 16 4 39 42 10 14 32 3 12 7 24 26 13 6 31
18018 10 48 4 14 1 31 10 2 3 31 2 26 5 17 25 9 17 38 22 39 8 40
18019 10 53 1 37 2 19 48 48 4 41 6 15 5 2 9 45 21 7 3 17 7 12
18020 10 38 2 31 1 18 20 23 13 6 4 40 3 1 6 27 5 8 15 19 7 22
18021 10 63 1 21 2 42 6 48 16 8 5 32 46 14 4 40 22 5 15 42 10 45
18022 10 50 1 29 7 47 2 4 9 5 6 15 3 22 4 48 49 14 14 37 5 5
18023 10 51 2 47 1 36 3 4 9 20 35 18 4 16 12 36 10 28 20 47 7 26
18024 10 64 5 1 1 18 2 7 13 25 4 16 10 38 3 8 19 23 22 22 50 43
18025 10 35 1 22 2 34 5 24 7 27 6 29 20 11 13 39 4 27 3 8 10 48
18026 10 50 15 15 3 36 1 8 2 36 8 3 19 8 7 20 4 26 30 18 11 38
18027 10 37 1 7 2 29 4 33 7 32 10 43 14 1 8 10 3 29 5 41 20 18
18028 10 41 3 14 2 21 1 33 17 1 16 34 11 10 12 10 7 17 4 14 9 3
18029 10 67 2 3 1 48 3 26 14 42 26 28 13 20 4 21 27 23 24 35 21 20
18030 10 37 1 3 5 29 2 24 8 37 12 46 11 45 6 30 3 9 16 27 10 17
18031 10 80 2 4 3 10 1 4 5 27 10 29 23 7 40 7 4 28 38 39 35 41
18032 10 46 1 7 7 7 4 29 2 23 5 2 3 7 8 36 25 31 6 2 31 30
18033 10 34 1 8 5 12 3 29 10 36 13 6 8 42 2 32 7 41 4 25 16 37
18034 10 36 6 29 1 8 2 2 9 23 11 14 3 18 21 42 4 39 7 31 8 36
18035 10 48 11 49 4 39 1 27 5 48 28 34 2 18 10 38 16 22 13 33 6 20
18036 10 49 3 18 1 29 4 49 22 15 2 19 8 25 9 33 5 26 15 40 30 38
18037 10 47 1 38 4 40 5 20 3 37 2 17 9 43 14 47 27 32 21 9 8 39
18038 10 62 1 40 4 19 10 22 11 42 39 22 12 34 2 25 13 28 6 47 27 34
18039 10 31 7 27 2 16 1 27 5 17 3 39 10 49 4 18 8 9 9 14 14 3
18040 10 43 17 1 1 28 5 45 2 30 3 40 10 1 6 12 8 20 31 40 4 46
18041 10 48 1 41 2 49 22 47 7 25 5 10 14 11 3 15 24 48 4 34 15 29
18042 10 37 3 15 1 35 4 13 2 42 5 5 24 20 6 49 7 49 10 4 13 35
18043 10 53 2 30 1 9 3 47 4 38 16 8 6 38 31 38 7 28 8 25 28 40
18044 10 32 6 18 2 14 1 6 7 9 10 27 15 29 3 44 4 20 5 15 11 50
18045 10 47 6 50 1 8 2 16 7 27 4 47 5 7 3 35 14 46 13 47 39 20
18046 10 66 17 7 1 7 3 24 4 41 20 40 24 39 2 45 40 42 7 12 14 21
18047 10 68 9 16 1 18 5 45 4 9 2 46 3 11 25 47 22 14 49 12 16 23
18048 10 64 1 40 3 21 8 47 10 38 4 20 7 22 2 19 36 30 37 37 21 15
18049 10 55 1 37 3 23 19 2 12 50 11 36 25 6 2 35 4 49 5 11 28 35
