16000 30 853 78 13 22 22 93 23 14 27 54 39 47 18 68 16 76 30 71 28 91 7 39 32 60 1 85 11 6 50 9 3 77 23 24 49 49 14 44 4 53 40 72 7 51 28 28 24 18 35 64 1 94 15 87 4 70 37 63 39 100 11
16001 30 685 56 48 77 1 1 31 40 24 52 49 22 4 76 50 27 45 84 41 48 29 7 34 34 28 20 50 35 38 51 47 95 50 23 45 50 3 36 24 6 34 97 10 11 46 86 8 81 28 55 11 14 12 46 15 33 17 92 29 16 17
16002 30 837 23 17 69 10 92 27 94 39 86 6 34 23 63 17 51 19 79 36 61 23 49 22 70 15 17 4 83 10 32 48 26 6 67 47 16 8 25 11 46 10 68 32 84 31 98 34 76 22 11 1 22 32 87 50 62 9 19 39 65 35
16003 30 689 37 32 42 11 92 38 22 9 71 6 41 20 39 44 95 12 54 47 34 38 21 22 89 46 40 50 10 39 18 44 77 1 88 38 27 9 3 47 64 45 16 5 38 12 44 11 51 31 81 24 19 26 14 21 75 11 69 37 8 24
16004 30 809 95 34 85 49 30 50 43 45 6 31 24 24 18 26 98 50 73 15 96 6 39 6 56 9 93 6 66 18 99 4 48 30 54 43 76 9 75 32 34 50 51 10 55 49 11 30 26 28 65 31 33 24 41 43 90 40 38 21 1 30
16005 30 747 47 10 54 30 45 3 30 6 9 28 66 38 51 40 63 28 5 46 13 30 68 1 20 12 40 11 58 29 82 8 60 28 69 15 59 14 19 38 27 16 87 15 26 29 74 9 61 44 33 5 53 43 64 31 76 22 93 5 42 7
16006 30 742 13 7 76 3 28 2 18 14 37 41 97 33 73 20 94 35 15 4 69 20 6 14 33 39 39 6 83 46 10 6 66 12 85 20 31 48 67 39 2 13 7 45 21 50 42 6 81 27 96 21 84 28 16 33 68 26 41 36 87 25
16007 30 776 5 18 23 43 36 13 78 37 75 36 83 23 8 33 40 50 20 26 35 43 59 14 58 44 34 18 74 8 72 43 80 17 42 46 67 18 81 49 91 38 31 30 89 20 2 14 56 44 71 3 68 4 88 1 21 13 10 45 55 42
16008 30 831 61 34 35 8 50 3 38 49 93 27 81 24 66 3 75 31 10 20 55 31 23 24 34 12 26 6 74 36 2 30 77 12 63 13 71 13 65 10 9 37 95 33 54 49 86 9 79 43 91 3 76 16 44 31 39 29 83 18 7 46
16009 30 811 32 19 67 46 86 28 10 44 66 5 28 19 5 37 63 17 97 3 71 14 80 36 57 11 26 37 95 45 45 42 60 22 51 38 83 46 3 37 24 22 92 12 78 6 30 26 11 50 91 40 87 48 2 12 96 8 31 38 56 46
16010 30 843 86 39 93 39 77 16 62 20 79 39 26 8 16 38 59 6 45 5 8 43 65 23 15 50 20 14 55 17 49 45 9 37 74 27 98 43 88 20 63 5 57 23 13 36 70 19 11 41 94 33 54 21 99 20 71 46 69 5 61 47
16011 30 709 83 25 51 39 48 15 76 17 84 41 45 44 32 38 29 41 82 32 61 31 4 31 28 32 90 46 88 49 8 48 95 40 23 47 81 22 12 6 38 47 47 34 92 30 24 20 20 5 54 32 37 7 14 14 11 27 2 19 60 50
16012 30 925 96 42 71 9 60 5 98 44 97 27 69 18 73 23 81 10 29 44 25 20 49 36 2 6 74 49 65 23 9 46 55 8 5 10 50 8 83 18 75 32 91 48 64 2 28 7 58 13 95 9 68 20 85 43 56 45 88 10 52 44
