17000 20 255 28 63 22 22 43 73 14 77 4 89 47 68 18 16 26 80 21 28 41 7 39 82 10 1 35 61 6 100 9 3 27 23 24 99 49 64 44 54 3 90
17001 20 257 22 72 7 49 1 28 28 74 18 35 14 51 44 65 37 54 20 87 24 63 39 100 11 56 48 77 31 40 2 49 4 76 50 27 45 84 41 48 29 7
17002 20 236 34 34 28 20 2 35 38 51 47 95 23 45 3 36 24 6 10 11 46 86 8 81 5 61 40 95 14 12 15 46 33 67 42 79 16 67 17 69 27 94
17003 20 240 39 86 6 34 23 63 17 51 19 79 36 61 49 72 20 65 4 83 10 32 48 26 47 16 8 25 11 46 18 32 34 31 1 76 22 11 32 22 37 50
17004 20 232 26 69 12 59 19 39 15 85 37 32 42 61 38 22 9 71 6 41 20 39 44 95 4 47 34 88 21 72 39 96 40 50 10 89 18 94 27 1 3 97
17005 20 250 14 95 16 55 38 62 18 44 11 51 31 81 24 19 26 14 21 81 25 61 1 69 37 51 8 74 45 34 35 49 30 100 43 45 6 81 48 100 23 65
17006 20 270 46 6 39 56 6 59 43 6 16 18 49 54 48 80 4 43 26 59 25 82 34 50 1 60 5 49 11 30 23 75 28 65 31 33 24 73 41 43 40 40
17007 20 230 46 38 21 1 30 47 10 54 45 3 6 9 28 66 38 51 40 63 5 96 13 80 18 51 20 62 11 58 29 82 8 60 19 65 9 14 27 66 37 65
17008 20 269 18 26 29 47 32 74 9 61 44 61 33 55 3 43 14 81 26 22 43 55 42 57 13 7 28 2 37 91 47 83 23 70 35 15 4 69 20 6 39 39
17009 20 258 6 83 46 100 39 10 16 62 35 20 31 98 37 67 2 13 7 95 47 21 18 42 27 96 21 84 28 16 33 68 26 41 36 87 25 5 23 93 13 78
17010 20 290 37 75 36 83 23 8 33 40 40 20 26 35 43 59 14 58 44 83 35 34 18 74 8 72 30 17 28 42 46 67 31 49 41 88 39 70 2 64 6 44
17011 20 212 25 71 3 68 4 88 1 21 13 10 45 55 42 61 34 35 8 50 38 99 43 77 31 74 16 3 10 70 5 81 23 74 12 26 6 74 36 2 30 77
17012 20 240 12 63 13 71 15 60 9 37 45 83 4 49 36 59 29 93 41 53 16 76 44 81 39 79 33 18 7 96 32 69 17 96 28 10 5 28 19 5 37 5
17013 20 276 13 67 47 53 21 14 30 36 7 61 26 87 45 95 42 26 16 60 22 51 38 83 46 3 37 24 12 78 6 30 11 100 41 90 48 2 36 96 8 31
